State,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
New Mexico,1040.00,1118.00,1102.00,1143.00,1146.00,1208.00,1325.00,1499.00,1593.00,1614.85,1654.29,1675.76
New York,3272.00,3383.00,3460.00,3547.00,3653.00,3871.00,3961.00,4253.00,4453.00,4618.72,4851.19,5102.77
North Carolina,1195.00,1245.00,1257.00,1341.00,1350.00,1600.00,1776.00,2070.00,2162.00,2253.34,2300.12,2319.57
North Dakota,3000.00,3240.00,3304.00,3455.00,3837.00,3878.00,3880.00,3926.00,3969.00,4105.28,4192.12,4406.43
Ohio,3200.59,3381.04,3435.29,3515.00,3516.00,3495.00,3732.00,3953.00,4208.00,4373.59,4531.15,4533.77
Oklahoma,2106.00,2237.00,2306.00,2486.00,2693.00,2704.00,2832.00,3024.00,3163.00,3288.15,3496.50,3647.09
Oregon,2863.00,2966.00,3161.00,3222.00,3336.00,3611.00,3745.00,4021.00,4222.00,4429.09,4558.74,4665.69
Pennsylvania,2868.08,3051.63,3109.62,3234.00,3345.00,3448.00,3470.00,3927.00,4200.00,4449.92,4698.01,4927.44
Puerto Rico,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rhode Island,2310.00,2470.00,2686.00,2846.00,3090.00,3376.00,3652.00,3676.00,3950.00,3950.00,3950.00,4266.00
South Carolina,2828.00,2941.00,3125.00,3235.00,3346.00,3481.00,3646.00,3717.00,4248.00,4491.25,4642.33,4798.10
South Dakota,3035.00,3196.00,3449.00,3596.00,3939.00,4314.00,4585.00,4943.00,5468.00,5540.94,5704.67,6137.98
Tennessee,2197.00,2390.00,2490.00,2632.00,2777.00,2971.00,3196.00,3552.00,3659.00,3762.98,3946.70,4102.70
Texas,1382.00,1469.00,1610.00,1649.00,1662.00,1746.00,1858.00,2040.00,2146.00,2204.06,2290.05,2360.78
Utah,2017.00,2155.00,2324.00,2444.00,2555.00,2710.00,2867.00,3017.00,3149.00,3312.19,3466.46,3565.37
Vermont,4720.00,4990.00,5230.00,5500.00,5830.00,6070.00,6250.00,6520.00,6790.00,7090.00,7320.00,7530.00
Virginia,2081.00,2191.00,2372.00,2561.00,2860.00,3087.00,3585.00,3983.00,4192.00,4329.59,4559.98,4801.92
Washington,2482.00,2633.00,2738.00,2879.00,2962.00,3153.00,3360.00,3814.00,4243.00,4305.71,4295.31,4149.22
West Virginia,2081.09,2101.90,2207.00,2345.00,2479.00,2632.00,2524.00,2707.00,2923.00,3278.18,3731.33,3800.78
Wisconsin,2906.00,3132.00,3145.00,3270.00,3422.00,3507.00,3623.00,3829.00,4030.00,4178.64,4311.73,4466.18
Wyoming,1686.00,1770.00,1830.00,1922.00,2018.00,2164.00,2223.00,2327.00,2440.00,2605.26,2706.27,2809.81
